ts,open,high,low,close,volume,funding,borrow,liq,depeg,oi
1768424400,97655.27000000,97717.72000000,97390.00000000,97564.00000000,494.72849000,0.0,0.0,0.0,0.0,0.0
1768428000,97563.99000000,97587.34000000,96772.02000000,96878.34000000,1038.79474000,0.0,0.0,0.0,0.0,0.0
1768431600,96878.34000000,97371.33000000,96865.34000000,96951.78000000,437.21023000,0.0,0.0,0.0,0.0,0.0
1768435200,96951.78000000,97000.00000000,96500.00000000,96658.03000000,798.45682000,0.0,0.0,0.0,0.0,0.0
1768438800,96658.03000000,96959.09000000,96297.32000000,96445.31000000,701.30226000,0.0,0.0,0.0,0.0,0.0
1768442400,96445.32000000,96617.06000000,96095.80000000,96339.91000000,530.33501000,0.0,0.0,0.0,0.0,0.0
1768446000,96339.92000000,96393.58000000,95777.00000000,95985.10000000,791.58790000,0.0,0.0,0.0,0.0,0.0
1768449600,95985.11000000,96387.42000000,95952.89000000,96316.27000000,483.75975000,0.0,0.0,0.0,0.0,0.0
1768453200,96316.27000000,96510.57000000,96247.64000000,96429.71000000,419.70339000,0.0,0.0,0.0,0.0,0.0
1768456800,96429.71000000,96588.45000000,96172.41000000,96243.78000000,473.63021000,0.0,0.0,0.0,0.0,0.0
1768460400,96243.79000000,96760.15000000,96191.79000000,96630.48000000,679.19921000,0.0,0.0,0.0,0.0,0.0
1768464000,96630.47000000,96662.00000000,96289.98000000,96643.00000000,760.49437000,0.0,0.0,0.0,0.0,0.0
1768467600,96643.01000000,97193.34000000,96559.19000000,97040.75000000,1029.77719000,0.0,0.0,0.0,0.0,0.0
1768471200,97040.75000000,97070.39000000,96750.00000000,96818.68000000,414.89635000,0.0,0.0,0.0,0.0,0.0
1768474800,96818.68000000,96935.39000000,96580.03000000,96581.08000000,588.17595000,0.0,0.0,0.0,0.0,0.0
1768478400,96581.07000000,96994.65000000,96525.24000000,96981.65000000,332.67430000,0.0,0.0,0.0,0.0,0.0
1768482000,96981.66000000,97032.99000000,96620.12000000,96846.75000000,496.85903000,0.0,0.0,0.0,0.0,0.0
1768485600,96846.74000000,97165.03000000,95592.69000000,96063.43000000,1629.09421000,0.0,0.0,0.0,0.0,0.0
1768489200,96063.43000000,96791.67000000,95435.91000000,96737.04000000,2359.55410000,0.0,0.0,0.0,0.0,0.0
1768492800,96737.04000000,96969.99000000,96272.72000000,96738.51000000,1973.14331000,0.0,0.0,0.0,0.0,0.0
1768496400,96738.50000000,97163.00000000,96426.18000000,96636.35000000,2398.07402000,0.0,0.0,0.0,0.0,0.0
1768500000,96636.35000000,96650.51000000,95745.25000000,95835.00000000,2117.40598000,0.0,0.0,0.0,0.0,0.0
1768503600,95835.01000000,95920.31000000,95183.13000000,95516.01000000,1380.26708000,0.0,0.0,0.0,0.0,0.0
1768507200,95516.01000000,95660.00000000,95134.48000000,95260.67000000,524.36978000,0.0,0.0,0.0,0.0,0.0
1768510800,95260.68000000,95631.08000000,95196.00000000,95584.35000000,297.62442000,0.0,0.0,0.0,0.0,0.0
