ts,o,h,l,c,v,funding,borrow,liq,depeg,oi
1767349500,89753.27,89800.00,89584.00,89596.61,120.2707,0.0001,0.00005,0.5,0.0,1000000
1767349800,89596.60,89668.00,89596.60,89604.25,21.6013,0.0001,0.00005,0.5,0.0,1000000
1767350100,89604.24,89700.00,89604.24,89643.96,74.6033,0.0001,0.00005,0.5,0.0,1000000
1767350400,89643.96,89715.97,89643.95,89700.74,57.1991,0.0001,0.00005,0.5,0.0,1000000
1767350700,89700.74,89750.00,89700.74,89744.69,57.3586,0.0001,0.00005,0.5,0.0,1000000
1767351000,89744.68,89755.00,89620.59,89629.56,76.8272,0.0001,0.00005,0.5,0.0,1000000
1767351300,89629.56,89675.37,89629.56,89666.29,27.6866,0.0001,0.00005,0.5,0.0,1000000
1767351600,89666.30,89682.04,89572.01,89587.81,53.3654,0.0001,0.00005,0.5,0.0,1000000
1767351900,89587.80,89627.17,89527.90,89527.91,34.9452,0.0001,0.00005,0.5,0.0,1000000
1767352200,89527.90,89543.46,89521.16,89530.13,21.8323,0.0001,0.00005,0.5,0.0,1000000
1767352500,89530.13,89530.13,89400.00,89507.49,121.7501,0.0001,0.00005,0.5,0.0,1000000
1767352800,89507.48,89560.45,89507.48,89537.16,53.7836,0.0001,0.00005,0.5,0.0,1000000
1767353100,89537.15,89537.16,89360.00,89366.57,85.8250,0.0001,0.00005,0.5,0.0,1000000
1767353400,89366.58,89461.55,89366.58,89440.02,36.0911,0.0001,0.00005,0.5,0.0,1000000
1767353700,89440.03,89544.82,89440.02,89485.30,49.0465,0.0001,0.00005,0.5,0.0,1000000
1767354000,89485.30,89528.00,89407.53,89528.00,45.7230,0.0001,0.00005,0.5,0.0,1000000
1767354300,89528.00,89572.34,89507.24,89547.74,49.0352,0.0001,0.00005,0.5,0.0,1000000
1767354600,89547.73,89553.99,89509.73,89544.81,34.2582,0.0001,0.00005,0.5,0.0,1000000
1767354900,89544.81,89574.00,89489.63,89502.95,24.6153,0.0001,0.00005,0.5,0.0,1000000
1767355200,89502.94,89540.00,89412.00,89445.94,50.5136,0.0001,0.00005,0.5,0.0,1000000
1767355500,89445.93,89446.01,89387.01,89389.45,15.2914,0.0001,0.00005,0.5,0.0,1000000
1767355800,89389.44,89484.32,89389.44,89484.30,19.5256,0.0001,0.00005,0.5,0.0,1000000
1767356100,89484.30,89585.22,89484.30,89573.64,36.2800,0.0001,0.00005,0.5,0.0,1000000
1767356400,89573.63,89593.17,89429.78,89499.99,39.9228,0.0001,0.00005,0.5,0.0,1000000
