ts,o,h,l,c,v,funding,borrow,liq,depeg,oi
1769106600,89616.03,89767.34,89593.21,89668.60,75.1165,0.00001722,0.00005000,0.5000,0.000000,1000000
1769107500,89668.61,89715.61,89301.90,89333.94,83.1432,0.00001722,0.00005000,0.5000,0.000000,1000000
1769108400,89333.93,89460.00,89114.48,89399.12,143.6030,0.00001722,0.00005000,0.5000,0.000000,1000000
1769109300,89399.11,89577.96,89303.00,89504.99,74.7770,0.00001722,0.00005000,0.5000,0.000000,1000000
1769110200,89504.99,89880.00,89485.92,89845.71,112.9628,0.00001722,0.00005000,0.5000,0.000000,1000000
1769111100,89845.71,89924.46,89624.13,89777.90,158.5216,0.00001722,0.00005000,0.5000,0.000000,1000000
1769112000,89777.89,89924.00,89697.99,89924.00,122.1462,0.00001722,0.00005000,0.5000,0.000000,1000000
1769112900,89923.99,89946.13,89564.44,89574.44,72.7494,0.00001722,0.00005000,0.5000,0.000000,1000000
1769113800,89574.44,89713.26,89468.75,89507.70,68.2145,0.00001722,0.00005000,0.5000,0.000000,1000000
1769114700,89507.70,89552.86,89398.87,89409.72,75.7170,0.00001722,0.00005000,0.5000,0.000000,1000000
1769115600,89409.73,89625.40,89384.00,89540.01,61.5195,0.00001722,0.00005000,0.5000,0.000000,1000000
1769116500,89540.01,89669.21,89540.00,89571.54,68.9379,0.00001722,0.00005000,0.5000,0.000000,1000000
1769117400,89571.54,89600.00,89392.01,89392.01,68.5945,0.00001722,0.00005000,0.5000,0.000000,1000000
1769118300,89392.00,89392.00,89238.32,89268.66,73.7261,0.00001722,0.00005000,0.5000,0.000000,1000000
1769119200,89268.66,89566.00,89140.13,89490.70,113.0002,0.00001722,0.00005000,0.5000,0.000000,1000000
1769120100,89490.71,89520.00,89359.48,89422.77,64.0641,0.00001722,0.00005000,0.5000,0.000000,1000000
1769121000,89422.78,89422.78,89167.43,89265.50,74.1507,0.00001722,0.00005000,0.5000,0.000000,1000000
1769121900,89265.50,89375.54,89265.50,89346.99,43.7677,0.00001722,0.00005000,0.5000,0.000000,1000000
1769122800,89346.99,89375.78,89170.74,89302.40,62.8778,0.00001722,0.00005000,0.5000,0.000000,1000000
1769123700,89302.40,89509.97,89296.43,89440.00,56.5272,0.00001722,0.00005000,0.5000,0.000000,1000000
1769124600,89440.01,89583.62,89404.76,89505.70,46.8221,0.00001722,0.00005000,0.5000,0.000000,1000000
1769125500,89505.70,89559.68,89501.17,89559.67,34.6378,0.00001722,0.00005000,0.5000,0.000000,1000000
1769126400,89559.68,89559.68,89450.48,89537.00,41.4778,0.00001722,0.00005000,0.5000,0.000000,1000000
1769127300,89537.00,89638.84,89535.13,89615.71,88.5399,0.00001722,0.00005000,0.5000,0.000000,1000000
1769128200,89615.70,89623.85,89512.00,89552.51,46.2160,0.00001722,0.00005000,0.5000,0.000000,1000000
1769129100,89552.51,89609.04,89520.00,89520.01,49.5648,0.00001722,0.00005000,0.5000,0.000000,1000000
1769130000,89520.01,89677.35,89520.01,89607.82,77.5661,0.00001722,0.00005000,0.5000,0.000000,1000000
1769130900,89607.82,89693.17,89607.82,89693.16,45.8247,0.00001722,0.00005000,0.5000,0.000000,1000000
1769131800,89693.17,89866.64,89641.42,89827.81,103.0470,0.00001722,0.00005000,0.5000,0.000000,1000000
1769132700,89827.81,89939.39,89772.92,89939.38,55.1345,0.00001722,0.00005000,0.5000,0.000000,1000000
1769133600,89939.39,89979.97,89797.74,89950.34,185.9541,0.00001722,0.00005000,0.5000,0.000000,1000000
1769134500,89950.33,89950.34,89740.18,89769.13,76.5530,0.00001722,0.00005000,0.5000,0.000000,1000000
1769135400,89769.14,89832.34,89757.06,89788.70,71.1051,0.00001722,0.00005000,0.5000,0.000000,1000000
