1767762000,92670.3,92847.16,92500.0,92529.54,227.33033,0.0,0.0,0.0,0.0,0.0
1767765600,92529.53,92899.57,92523.75,92614.84,240.63686,0.0,0.0,0.0,0.0,0.0
1767769200,92614.84,92895.56,92614.83,92879.13,256.24423,0.0,0.0,0.0,0.0,0.0
1767772800,92879.14,92961.53,92698.09,92718.9,263.5062,0.0,0.0,0.0,0.0,0.0
1767776400,92718.9,92718.91,91600.0,91716.14,1258.05952,0.0,0.0,0.0,0.0,0.0
1767780000,91716.14,92000.0,91600.0,91975.31,538.05487,0.0,0.0,0.0,0.0,0.0
1767783600,91975.31,92253.16,91928.21,92087.21,542.17686,0.0,0.0,0.0,0.0,0.0
1767787200,92087.21,92176.98,91977.73,91997.86,317.95554,0.0,0.0,0.0,0.0,0.0
1767790800,91997.85,92299.4,91864.52,92044.67,443.04448,0.0,0.0,0.0,0.0,0.0
1767794400,92044.67,92135.1,91353.39,91959.04,1427.59818,0.0,0.0,0.0,0.0,0.0
1767798000,91959.05,92000.0,91024.0,91349.96,1434.72957,0.0,0.0,0.0,0.0,0.0
1767801600,91349.95,91790.0,91150.0,91264.54,677.82559,0.0,0.0,0.0,0.0,0.0
1767805200,91264.55,91698.15,91026.01,91252.14,548.07377,0.0,0.0,0.0,0.0,0.0
1767808800,91252.13,91441.35,90733.14,90901.39,816.16719,0.0,0.0,0.0,0.0,0.0
1767812400,90901.38,91280.07,90675.52,91186.07,611.7426,0.0,0.0,0.0,0.0,0.0
1767816000,91186.07,91300.75,90778.32,91047.49,438.79062,0.0,0.0,0.0,0.0,0.0
1767819600,91047.49,91231.9,91035.77,91089.5,245.38775,0.0,0.0,0.0,0.0,0.0
1767823200,91089.5,91383.14,90873.08,91180.85,362.9278,0.0,0.0,0.0,0.0,0.0
1767826800,91180.85,91489.6,91004.1,91364.16,633.66095,0.0,0.0,0.0,0.0,0.0
1767830400,91364.16,91529.72,91072.16,91394.71,369.48198,0.0,0.0,0.0,0.0,0.0
1767834000,91394.7,91687.99,91300.0,91428.4,306.46699,0.0,0.0,0.0,0.0,0.0
1767837600,91428.39,91473.0,90764.0,90956.49,571.10105,0.0,0.0,0.0,0.0,0.0
1767841200,90956.5,91142.51,90616.36,90813.4,547.79189,0.0,0.0,0.0,0.0,0.0
1767844800,90813.4,91168.0,90700.0,91022.75,357.33917,0.0,0.0,0.0,0.0,0.0
1767848400,91022.74,91188.0,90786.14,90829.58,295.83835,0.0,0.0,0.0,0.0,0.0
1767852000,90829.58,90872.0,89897.01,89898.01,1360.25581,0.0,0.0,0.0,0.0,0.0
1767855600,89898.0,90588.0,89641.84,90548.02,1094.34311,0.0,0.0,0.0,0.0,0.0
1767859200,90548.02,90917.22,90155.05,90227.25,841.98085,0.0,0.0,0.0,0.0,0.0
1767862800,90227.25,90374.78,89956.0,90010.0,514.04982,0.0,0.0,0.0,0.0,0.0
1767866400,90009.99,90493.18,89777.25,90410.1,526.53398,0.0,0.0,0.0,0.0,0.0
1767870000,90409.61,90487.31,90022.26,90226.77,548.71612,0.0,0.0,0.0,0.0,0.0
1767873600,90226.77,90240.85,89781.96,89989.21,992.96975,0.0,0.0,0.0,0.0,0.0
1767877200,89989.2,90105.08,89861.59,89962.14,441.44929,0.0,0.0,0.0,0.0,0.0
1767880800,89962.14,90171.0,89311.0,90024.01,1521.76403,0.0,0.0,0.0,0.0,0.0
1767884400,90024.0,90847.52,89820.89,90781.57,1428.07575,0.0,0.0,0.0,0.0,0.0
1767888000,90781.57,90926.84,90312.89,90926.84,855.68064,0.0,0.0,0.0,0.0,0.0
1767891600,90926.84,91440.0,90842.0,91366.39,874.20589,0.0,0.0,0.0,0.0,0.0
1767895200,91366.39,91469.0,90952.0,91117.35,517.40477,0.0,0.0,0.0,0.0,0.0
1767898800,91117.35,91333.0,90812.98,90937.41,409.298,0.0,0.0,0.0,0.0,0.0
1767902400,90937.42,90996.02,90568.11,90927.62,476.53275,0.0,0.0,0.0,0.0,0.0
1767906000,90927.63,91336.63,90917.7,91272.96,629.96765,0.0,0.0,0.0,0.0,0.0
1767909600,91272.96,91493.0,91033.11,91231.9,417.67218,0.0,0.0,0.0,0.0,0.0
1767913200,91231.89,91336.63,91046.87,91099.99,233.87135,0.0,0.0,0.0,0.0,0.0
1767916800,91100.0,91307.72,91058.7,91290.33,179.40576,0.0,0.0,0.0,0.0,0.0
1767920400,91290.34,91632.1,90850.0,91056.19,545.56598,0.0,0.0,0.0,0.0,0.0
1767924000,91056.2,91481.19,91023.0,91038.38,431.1021,0.0,0.0,0.0,0.0,0.0
1767927600,91038.39,91271.73,90941.44,91220.23,417.7946,0.0,0.0,0.0,0.0,0.0
1767931200,91220.24,91236.72,90933.3,91012.8,322.36121,0.0,0.0,0.0,0.0,0.0
1767934800,91012.81,91119.81,90882.71,91091.82,292.21625,0.0,0.0,0.0,0.0,0.0
1767938400,91091.82,91146.47,90989.29,91137.58,209.50276,0.0,0.0,0.0,0.0,0.0
1767942000,91137.58,91137.58,90738.34,90741.84,669.4759,0.0,0.0,0.0,0.0,0.0
1767945600,90741.85,90843.77,89694.66,90033.52,1141.88324,0.0,0.0,0.0,0.0,0.0
1767949200,90033.52,90481.2,90014.6,90338.46,507.45187,0.0,0.0,0.0,0.0,0.0
1767952800,90338.47,90558.01,90283.47,90485.87,396.79277,0.0,0.0,0.0,0.0,0.0
1767956400,90485.87,90691.32,90404.21,90463.11,540.59585,0.0,0.0,0.0,0.0,0.0
