ts,o,h,l,c,v,funding,borrow,liq,depeg,oi
1769621400,89593.88,89593.88,89277.21,89441.89,104.2924,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769621700,89441.89,89683.09,89436.85,89653.89,46.8830,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769622000,89653.89,89990.60,89608.64,89857.68,84.8892,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769622300,89857.68,89980.00,89831.82,89896.49,76.6149,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769622600,89896.50,90600.00,89896.49,90469.15,385.5069,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769622900,90469.16,90471.41,90156.25,90169.88,75.5808,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769623200,90169.89,90178.91,89498.25,89770.24,308.0177,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769623500,89770.24,89827.43,89654.12,89729.82,65.1700,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769623800,89729.82,89837.42,89706.12,89816.50,30.8924,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769624100,89816.51,89901.00,89762.00,89799.60,39.4212,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769624400,89799.98,89945.33,89799.98,89916.33,32.5703,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769624700,89916.34,89916.34,89710.00,89770.32,31.7535,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769625000,89770.32,89817.80,89700.31,89720.01,24.4587,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769625300,89720.01,89738.37,89624.58,89642.34,20.8517,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769625600,89642.33,89665.90,89579.00,89640.01,30.8638,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769625900,89640.00,89665.88,89538.46,89579.59,52.3900,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769626200,89579.59,89598.12,89312.88,89486.33,73.6603,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769626500,89486.33,89572.17,89417.34,89546.24,38.4619,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769626800,89544.00,89719.58,89073.20,89550.01,272.1878,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769627100,89550.00,89599.47,89265.38,89381.21,96.2043,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769627400,89381.22,89519.96,89266.00,89361.26,79.6302,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769627700,89361.26,89523.16,89277.37,89400.00,30.3983,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769628000,89400.01,89596.53,89379.62,89505.49,31.1685,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769628300,89505.84,89627.38,89397.42,89403.69,28.8301,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769628600,89403.69,89550.00,89220.00,89367.00,93.1119,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769628900,89367.00,89482.59,89278.00,89291.00,37.3191,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769629200,89290.99,89307.99,89006.36,89039.30,66.7494,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769629500,89040.00,89461.42,89040.00,89414.27,99.1010,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769629800,89414.27,89579.42,89346.00,89556.96,36.0321,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769630100,89556.97,89594.93,89402.57,89402.58,22.6504,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769630400,89402.57,89620.00,89332.00,89561.51,30.9900,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769630700,89561.52,89606.39,89511.20,89581.04,19.6370,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769631000,89581.03,89624.59,89500.00,89584.86,21.4975,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769631300,89584.86,89726.01,89469.95,89599.99,102.2412,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769631600,89599.99,89726.01,89560.88,89706.01,36.3207,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769631900,89706.00,89896.00,89637.00,89791.55,82.9293,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769632200,89791.55,89791.56,89340.00,89422.00,59.3357,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769632500,89421.99,89421.99,89153.84,89325.72,75.5670,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769632800,89324.48,89350.00,89220.00,89234.80,40.0460,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769633100,89234.80,89241.95,89038.08,89038.09,49.6830,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769633400,89038.08,89145.49,89010.00,89145.49,32.5389,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769633700,89145.49,89257.65,89083.28,89130.63,40.1600,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769634000,89130.63,89205.30,88878.01,88979.99,115.6029,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769634300,88979.99,89093.12,88880.69,89065.75,25.6272,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769634600,89065.75,89211.49,89016.03,89211.49,33.6489,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769634900,89211.48,89227.39,89161.57,89207.79,19.9579,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769635200,89207.80,89277.40,89181.76,89181.77,21.1420,-0.00003267,0.00005000,0.5000,0.000000,1000000
